time,mw,ms_press_left,ms_temp,rpm,react_pwr,,,,,,
6/17/2021 6:14,214.05,80.5,424,2999,63.55,,,,,,
6/17/2021 6:15,205.73,81.286,427,3001,69.22,,,,,,
6/17/2021 6:16,217.13,86.126,430,2999,68.06,,,,,,
6/17/2021 6:17,218.65,90.863,433,2999,67.58,,,,,,
6/17/2021 6:18,222.56,93.967,436,3001,69.5,,,,,,
6/17/2021 6:19,224.84,96.729,438,3002,69.12,,,,,,
6/17/2021 6:20,231.75,96.585,439,3002,62.98,,,,,,
6/17/2021 6:21,230.04,96.544,439,3003,64.99,,,,,,
6/17/2021 6:22,223.48,95.156,438,3001,57.6,,,,,,
6/17/2021 6:23,220.05,92.989,436,3001,57.31,,,,,,
6/17/2021 6:24,218.18,91.26,434,3003,64.8,,,,,,
6/17/2021 6:25,216.75,90.077,433,3002,60,,,,,,
6/17/2021 6:26,219.12,89.619,433,3001,59.62,,,,,,
6/17/2021 6:27,218.51,89.865,433,3000,63.07,,,,,,
6/17/2021 6:28,219.35,89.482,433,3001,62.02,,,,,,
6/17/2021 6:29,219.63,89.51,433,3000,61.82,,,,,,
6/17/2021 6:30,221.25,89.783,433,3001,63.36,,,,,,
6/17/2021 6:31,222.33,90.392,433,3000,65.28,,,,,,
6/17/2021 6:32,223.34,90.528,433,2999,66.24,,,,,,
6/17/2021 6:33,221.34,90.836,433,2999,60.38,,,,,,
6/17/2021 6:34,220.92,90.665,433,3000,55.2,,,,,,
6/17/2021 6:35,218.84,90.296,432,2999,53.86,,,,,,
6/17/2021 6:36,218.74,89.537,432,2999,54.62,,,,,,
6/17/2021 6:37,217.8,88.669,432,2998,58.37,,,,,,
6/17/2021 6:38,216.42,88.102,432,2996,55.2,,,,,,
6/17/2021 6:39,217.5,87.425,432,2997,49.25,,,,,,
6/17/2021 6:40,217.31,87.097,432,2999,42.72,,,,,,
6/17/2021 6:41,218.84,87.356,432,2997,43.58,,,,,,
6/17/2021 6:42,213.63,87.384,433,2997,43.2,,,,,,
6/17/2021 6:43,208.48,87.384,433,2997,41.95,,,,,,
6/17/2021 6:44,209.55,86.967,432,2999,41.38,,,,,,
6/17/2021 6:45,208.43,86.516,432,3000,42.72,,,,,,
6/17/2021 6:46,208.52,85.545,432,2999,43.68,,,,,,
6/17/2021 6:47,208.62,84.636,432,2997,47.23,,,,,,
6/17/2021 6:48,208.62,84.403,432,2997,46.37,,,,,,
6/17/2021 6:49,208.76,83.891,432,2995,46.66,,,,,,
6/17/2021 6:50,207.77,83.617,432,2996,47.04,,,,,,
6/17/2021 6:51,206.81,83.009,433,2997,48.48,,,,,,
6/17/2021 6:52,208.05,82.1,432,2997,46.37,,,,,,
6/17/2021 6:53,207.38,81.963,433,2999,45.41,,,,,,
6/17/2021 6:54,208.2,81.71,433,2999,46.75,,,,,,
6/17/2021 6:55,205.5,81.949,433,2999,37.54,,,,,,
6/17/2021 6:56,204.35,80.247,433,3000,40.9,,,,,,
6/17/2021 6:57,197.7,79.174,433,3000,39.84,,,,,,
6/17/2021 6:58,184.2,77.185,433,3000,40.42,,,,,,
6/17/2021 6:59,173.18,77.144,433,3001,40.9,,,,,,
6/17/2021 7:00,179.7,79.625,434,3001,36.48,,,,,,
6/17/2021 7:01,185.16,81.806,434,3001,34.75,,,,,,
6/17/2021 7:02,187.85,83.672,435,3001,37.34,,,,,,
6/17/2021 7:03,181.69,84.875,437,3001,37.73,,,,,,
6/17/2021 7:04,180.38,86.434,438,2999,42.34,,,,,,
6/17/2021 7:05,180.84,88.006,439,2997,43.2,,,,,,
6/17/2021 7:06,181.83,90.624,440,2995,40.99,,,,,,
6/17/2021 7:07,182.74,91.342,441,2994,42.05,,,,,,
6/17/2021 7:08,179.77,91.232,442,2995,41.38,,,,,,
6/17/2021 7:09,178.71,91.287,443,2993,43.49,,,,,,
6/17/2021 7:10,178.34,92.34,444,2992,40.03,,,,,,
6/17/2021 7:11,181.97,93.468,444,2994,40.7,,,,,,
6/17/2021 7:12,180.98,94.063,445,2995,40.42,,,,,,
6/17/2021 7:13,180.98,94.835,445,2995,37.34,,,,,,
6/17/2021 7:14,183.54,95.594,444,2995,40.8,,,,,,
6/17/2021 7:15,188.98,96.476,444,2993,39.36,,,,,,
6/17/2021 7:16,188.84,95.785,443,2993,39.74,,,,,,
6/17/2021 7:17,186.38,95.067,442,2993,42.72,,,,,,
6/17/2021 7:18,183.54,94.008,441,2992,42.91,,,,,,
6/17/2021 7:19,187.43,92.914,439,2992,40.32,,,,,,
6/17/2021 7:20,187.38,92.169,438,2993,42.82,,,,,,
6/17/2021 7:21,185.06,91.355,437,2992,42.14,,,,,,
6/17/2021 7:22,184.48,90.768,435,2992,37.06,,,,,,
6/17/2021 7:23,183.82,90.337,434,2992,35.9,,,,,,
6/17/2021 7:24,182.84,90.392,432,2994,35.33,,,,,,
6/17/2021 7:25,182.84,89.995,431,2995,35.42,,,,,,
6/17/2021 7:26,183.26,89.838,430,2993,33.41,,,,,,
6/17/2021 7:27,183.26,89.961,429,2996,34.08,,,,,,
6/17/2021 7:28,182.06,89.92,428,2994,29.47,,,,,,
6/17/2021 7:29,181.64,89.455,427,2995,27.07,,,,,,
6/17/2021 7:30,181.08,89.243,427,2996,26.02,,,,,,
6/17/2021 7:31,181.17,88.97,426,2996,23.42,,,,,,
6/17/2021 7:32,180.05,88.43,426,2998,28.99,,,,,,
6/17/2021 7:33,180.56,88.43,427,2997,29.47,,,,,,
6/17/2021 7:34,181.03,88.628,427,2996,25.82,,,,,,
6/17/2021 7:35,181.5,88.915,428,2998,27.07,,,,,,
6/17/2021 7:36,181.69,88.983,429,2997,28.03,,,,,,
6/17/2021 7:37,181.78,88.983,430,2997,27.07,,,,,,
6/17/2021 7:38,180.94,88.819,430,2996,29.95,,,,,,
6/17/2021 7:39,179.86,88.307,431,2994,27.84,,,,,,
6/17/2021 7:40,181.45,87.842,432,2993,26.5,,,,,,
6/17/2021 7:41,183.35,87.644,432,2995,24.58,,,,,,
6/17/2021 7:42,186.09,87.466,433,2995,25.44,,,,,,
6/17/2021 7:43,187.22,87.814,434,2995,23.33,,,,,,
6/17/2021 7:44,187.85,87.828,435,2995,24.1,,,,,,
6/17/2021 7:45,191.91,87.466,436,2997,22.94,,,,,,
6/17/2021 7:46,193.8,87.151,437,2998,21.22,,,,,,
6/17/2021 7:47,195.89,86.994,438,2998,20.45,,,,,,
6/17/2021 7:48,198.54,87.179,439,2998,19.1,,,,,,
6/17/2021 7:49,198.26,87.979,440,2998,19.01,,,,,,
6/17/2021 7:50,198.4,88.156,441,2999,15.26,,,,,,
6/17/2021 7:51,198.63,87.896,441,2999,15.84,,,,,,
6/17/2021 7:52,198.02,87.951,442,2999,16.22,,,,,,
6/17/2021 7:53,196.41,87.575,443,2999,13.44,,,,,,
6/17/2021 7:54,197.7,86.912,443,3000,14.5,,,,,,
6/17/2021 7:55,197.02,87.056,444,3000,11.14,,,,,,
6/17/2021 7:56,196.83,87.11,444,3000,9.5,,,,,,
6/17/2021 7:57,198.45,87.11,444,3000,9.6,,,,,,
6/17/2021 7:58,198.73,87.124,445,3001,10.27,,,,,,
6/17/2021 7:59,199.2,87.534,445,3001,9.6,,,,,,
6/17/2021 8:00,199.71,87.992,445,3000,9.6,,,,,,
6/17/2021 8:01,198.87,88.129,446,3001,6.05,,,,,,
6/17/2021 8:02,198.45,88.402,446,3001,9.6,,,,,,
6/17/2021 8:03,199.34,88.457,446,3002,6.91,,,,,,
6/17/2021 8:04,201.47,88.484,446,3001,6.62,,,,,,
6/17/2021 8:05,202.03,88.184,446,3000,11.04,,,,,,
